lvl,frontier,gpu_frontier,cpu_frontier,next,gpu_enabled,gpu_frac
0,1,1,0,500227,True,1.0
1,500227,179172,321055,477810,True,0.3581813856509145
2,477810,3161,474649,407418,True,0.0066156003432326655
3,407418,222,407196,213692,True,0.0005448949236410763
4,213692,13,213679,123542,True,6.0835220785055124e-05
5,123542,2,123540,64133,True,1.6188826471969046e-05
6,64133,0,64133,32135,True,0.0
7,32135,0,32135,16045,True,0.0
8,16045,0,16045,8217,True,0.0
9,8217,0,8217,4051,True,0.0
10,4051,0,4051,1973,True,0.0
11,1973,0,1973,1040,True,0.0
12,1040,0,1040,514,True,0.0
13,514,0,514,262,True,0.0
14,262,0,262,162,True,0.0
15,162,0,162,81,True,0.0
16,81,0,81,28,True,0.0
17,28,0,28,18,True,0.0
18,18,0,18,1,True,0.0
19,1,0,1,0,True,0.0
